2016-02-15T19:43:23.854+0800: 4800.569: [GC [PSYoungGen: 1371312K->15328K(1377216K)] 1512276K->156464K(4173440K), 0.0300770 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T19:44:12.477+0800: 4849.191: [GC [PSYoungGen: 1371936K->13376K(1377856K)] 1513072K->154668K(4174080K), 0.0240540 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:45:05.852+0800: 4902.567: [GC [PSYoungGen: 1371008K->15616K(1377856K)] 1512300K->157116K(4174080K), 0.0317000 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:45:55.880+0800: 4952.594: [GC [PSYoungGen: 1373248K->13618K(1378368K)] 1514748K->155262K(4174592K), 0.0267460 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:46:52.953+0800: 5009.668: [GC [PSYoungGen: 1372210K->18065K(1376704K)] 1513854K->160109K(4172928K), 0.0305750 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:47:53.563+0800: 5070.277: [GC [PSYoungGen: 1376657K->16032K(1378176K)] 1518701K->158541K(4174400K), 0.0312790 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:48:51.022+0800: 5127.737: [GC [PSYoungGen: 1373984K->15552K(1377856K)] 1516493K->158149K(4174080K), 0.0272890 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:49:46.687+0800: 5183.401: [GC [PSYoungGen: 1373504K->14935K(1378816K)] 1516101K->157797K(4175040K), 0.0261630 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:50:42.465+0800: 5239.180: [GC [PSYoungGen: 1374231K->15520K(1378560K)] 1517093K->158626K(4174784K), 0.0286710 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:51:38.568+0800: 5295.283: [GC [PSYoungGen: 1374816K->16136K(1379264K)] 1517922K->159369K(4175488K), 0.0297560 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:52:27.531+0800: 5344.246: [GC [PSYoungGen: 1376456K->14675K(1379136K)] 1519689K->158225K(4175360K), 0.0297790 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T19:53:20.379+0800: 5397.093: [GC [PSYoungGen: 1374995K->16512K(1379392K)] 1518545K->160434K(4175616K), 0.0287400 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T19:54:10.684+0800: 5447.398: [GC [PSYoungGen: 1377216K->15648K(1379392K)] 1521138K->159835K(4175616K), 0.0280290 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:55:03.873+0800: 5500.588: [GC [PSYoungGen: 1376352K->16960K(1379264K)] 1520539K->161375K(4175488K), 0.0329010 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:55:58.369+0800: 5555.084: [GC [PSYoungGen: 1377792K->15504K(1379456K)] 1522207K->160347K(4175680K), 0.0284330 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:56:51.182+0800: 5607.896: [GC [PSYoungGen: 1376336K->17895K(1378560K)] 1521179K->163119K(4174784K), 0.0332940 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-02-15T19:57:38.791+0800: 5655.506: [GC [PSYoungGen: 1378087K->15728K(1379136K)] 1523311K->161352K(4175360K), 0.0291790 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2016-02-15T19:58:31.239+0800: 5707.953: [GC [PSYoungGen: 1375920K->15664K(1379648K)] 1521544K->161533K(4175872K), 0.0309290 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T19:59:21.922+0800: 5758.636: [GC [PSYoungGen: 1376624K->16320K(1379392K)] 1522493K->162437K(4175616K), 0.0308630 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:00:09.833+0800: 5806.548: [GC [PSYoungGen: 1377280K->15192K(1379840K)] 1523397K->161630K(4176064K), 0.0293620 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T20:01:00.987+0800: 5857.701: [GC [PSYoungGen: 1376664K->16737K(1379712K)] 1523102K->163576K(4175936K), 0.0301760 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:01:48.360+0800: 5905.075: [GC [PSYoungGen: 1378209K->15984K(1379968K)] 1525048K->163160K(4176192K), 0.0290850 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T20:02:34.855+0800: 5951.570: [GC [PSYoungGen: 1377648K->15312K(1379776K)] 1524824K->162732K(4176000K), 0.0308710 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
